grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
4	634	順	12	obey	jun	
4	635	願	19	request	gan	nega-u
4	636	類	18	sort	rui	
4	637	飛	9	fly	hi	to-bu
4	638	飯	12	meal	han	meshi
4	639	養	15	foster	yō	yashina-u
4	640	験	18	verify	ken	
5	641	久	3	long time	kyū	hisa
5	642	仏	4	Buddha	futsu, butsu	hotoke
5	643	仮	6	sham	ka, ke	kari
5	644	件	6	affair	ken	
5	645	任	6	responsibility	nin	maka-seru
5	646	似	7	resemble	ji	ni-ru
5	647	余	7	surplus	yo	ama-ru
5	648	価	8	value	ka	atai
5	649	保	9	preserve	ho	tamo-tsu
5	650	修	10	discipline	shū	osa-meru
5	651	俵	10	straw bag	hyō	tawara
5	652	個	10	individual	ko	
5	653	備	12	provide	bi	sona-eru
5	654	像	14	statue	zō	
5	655	再	6	again	sai, sa	futata-bi
5	656	刊	5	publish	kan	
5	657	判	7	judge	han	waka-ru
5	658	制	8	control	sei	
5	659	券	8	ticket	ken	
5	660	則	9	rule	soku	notto-ru
5	661	効	8	effect	kō	ki-ku
5	662	務	11	duty	mu	tsuto-meru
5	663	勢	13	energy	sei	ikio-i
5	664	厚	9	rich	kō	atsu-i
5	665	句	5	phrase	ku	
5	666	可	5	possible	ka	
5	667	営	12	manage	ei	itona-mu
5	668	因	6	cause	in	yo-ru
5	669	団	6	association	dan, ton	
5	670	圧	5	pressure	atsu	
5	671	在	6	exist	zai	a-ru
5	672	均	7	level	kin	
5	673	基	11	foundation	ki	moto-zuku
5	674	報	12	report	hō	muku-iru
5	675	境	14	boundary	kyō	sakai
5	676	墓	13	grave	bo	haka
5	677	増	14	increase	zō	ma-su, fu-eru
5	678	夢	13	dream	mu	yume
5	679	妻	8	wife	sai	tsuma
5	680	婦	11	lady	fu	
5	681	容	10	contain	yō	
5	682	寄	11	approach	ki	yo-ru
5	683	富	12	abundant	fu	tomi
5	684	導	15	guide	dō	michibi-ku
5	685	居	8	reside	kyo	i-ru
5	686	属	12	belong	zoku	
5	687	布	5	linen	fu	nuno
5	688	師	10	expert	shi	
5	689	常	11	normal	jō	tsune
5	690	幹	13	tree trunk	kan	miki
5	691	序	7	preface	jo	
5	692	弁	5	valve	ben	
5	693	張	11	stretch	chō	ha-ru
5	694	往	8	journey	ō	
5	695	復	12	recovery	fuku	
